name,brewery,year,abv,style,size,stock,purchased,drunk,ibu,collaborators,barrel_aged,barrel_type,brewed_with
Champ De Fraise,Firestone Walker,2020,5.3,American Wild Ale,375,1,1,false,,,false,,
Big Mood ,Firestone Walker,2020,8.1,American Wild Ale,375,1,1,false,,Sante Adairius Rustic Ales,false,,
The Haze IPA ,Bear Republic,2020,6.4,Hazy IPA,355,0,3,true,,,false,,
Patrons Project 7.07 // Esben Bøg-Jensen // Tæppefald // Mikkeller // Coffee Collective,Northern Monk,2020,9.5,Imperial Coffee Stout,440,0,3,true,,Mikkeller,false,,Coffee Collective
Heart Of Chambers,Whiplash,2020,7.1,Double Coffee Porter,440,0,4,true,,3fe,false,,Coffee
Heart Of Chambers,Whiplash,2020,7.1,Double Coffee Porter,1000,0,1,true,,3fe,false,,Coffee
Let It Happen,Whiplash,2021,8,Double IPA,440,0,2,true,65,,false,,
Dark Steering,Whiplash,2021,5.2,Schwarzbier,440,0,2,true,,,false,,
The Horror,Whiplash,2021,9,Export Stout,440,0,2,true,,,false,,
Headlines,Whiplash,2020,10.5,Triple New England IPA,440,0,2,true,,Garage Beer co.,false,,
Disco Mystic,Whiplash,2020,8,Double New England IPA,440,0,2,true,,,false,,
Melody Noir,Whiplash,2020,7.2,Baltic Porter,440,0,2,true,,,false,,
Fatal Deviation,Whiplash,2020,11,Imperial Stout,440,0,2,true,,,true,Bourbon,
Scaldy Porter,Whiplash,2020,5.5,Porter,440,0,1,true,61,,false,,
Space Operator,Whiplash,2020,6.8,American IPA,440,0,1,true,20,,false,,
Hair of the Bear,Leaky Abstraction,2021,5.4,American Pale Ale,500,0,2,true,,,false,,
German Movies,Fuerst Wiacek,2021,6.8,IPA,440,0,1,true,,,false,,
Smooth Mover,Fuerst Wiacek,2021,6.8,IPA,440,0,1,true,,,false,,
Everything Is Under Control,Fuerst Wiacek,2021,6.8,IPA,440,0,1,true,,,false,,
Eat The Salad,Fuerst Wiacek,2021,6.8,IPA,440,0,1,true,,,false,,
Wanderland,Sierra Nevada Brewing Co.,2021,7.5,Nectarine Ale,355,0,1,true,,,false,,
Bigfoot,Sierra Nevada Brewing Co.,2021,9.6,American Barley wine,355,1,2,true,,,false,,
Bone Machine,Whiplash,2021,6.2,American IPA,440,0,1,true,35,,false,,
Ocata,Garage Beer co.,2021,5.4,New England IPA,1000,0,1,true,,,false,,
Ripples Pale Ale,Omnipollo,2020,5.5,Pale Ale,330,0,1,true,,,false,,
Double Noises,Omnipollo,2020,7.5,Imperial IPA,330,0,1,true,,,false,,
Granddad Grahams Butter Coffee ,Lervig,2020,12.1,Double Coffee Stout,330,0,1,true,,,true,,
I Say We And I Mean You And I Don't Know How,Cloudwater Brew Co.,2020,8,Imperial IPA,440,0,1,true,,,false,,
